Time,x_d,y_d,theta_d,v_r_d,v_l_d
6.205171,0.481727,-0.203798,-1.153989,-0.018123,0.156705
6.255213,0.483104,-0.206979,-1.170516,-0.018355,0.156895
6.305254,0.484428,-0.210182,-1.187079,-0.018524,0.157056
6.355296,0.485699,-0.213407,-1.203669,-0.01863,0.157186
6.405338,0.486917,-0.216654,-1.220277,-0.018673,0.157286
6.455379,0.488081,-0.219922,-1.236894,-0.018652,0.157355
6.505421,0.489192,-0.223211,-1.253511,-0.018566,0.157392
6.555463,0.490248,-0.226522,-1.270118,-0.018416,0.157399
6.605505,0.491251,-0.229854,-1.286708,-0.018201,0.157374
6.655546,0.4922,-0.233208,-1.30327,-0.017921,0.157318
6.705588,0.493095,-0.236582,-1.319796,-0.017578,0.157232
6.75563,0.493936,-0.239977,-1.336278,-0.017172,0.157116
6.805671,0.494723,-0.243393,-1.352705,-0.016703,0.156971
6.855713,0.495455,-0.24683,-1.369071,-0.016172,0.156798
6.905755,0.496133,-0.250288,-1.385366,-0.01558,0.156597
6.955796,0.496756,-0.253766,-1.401582,-0.014929,0.156369
7.005838,0.497324,-0.257264,-1.41771,-0.014219,0.156116
7.05588,0.497839,-0.260783,-1.433745,-0.013453,0.155839
7.105922,0.498298,-0.264323,-1.449676,-0.012632,0.155539
7.155963,0.498703,-0.267882,-1.465499,-0.011757,0.155217
7.206005,0.499052,-0.271462,-1.481205,-0.01083,0.154875
7.256047,0.499348,-0.275062,-1.496788,-0.009854,0.154514
7.306088,0.499588,-0.278681,-1.512242,-0.008829,0.154136
7.35613,0.499773,-0.282321,-1.52756,-0.007758,0.153743
7.406172,0.499903,-0.28598,-1.542737,-0.006644,0.153335
7.456214,0.499979,-0.289658,-1.557768,-0.005487,0.152915
7.506255,0.5,-0.293357,-1.572648,-0.004291,0.152485
7.556297,0.499965,-0.297074,-1.587372,-0.003057,0.152044
7.606339,0.499876,-0.300811,-1.601935,-0.001788,0.151597
7.65638,0.499732,-0.304567,-1.616335,-0.000485,0.151143
7.706422,0.499533,-0.308342,-1.630567,0.000849,0.150684
7.756464,0.499279,-0.312137,-1.644628,0.002213,0.150222
7.806505,0.49897,-0.31595,-1.658516,0.003603,0.149759
7.856547,0.498607,-0.319782,-1.672227,0.005019,0.149295
7.906589,0.498188,-0.323632,-1.68576,0.006458,0.148832
7.956631,0.497715,-0.327501,-1.699112,0.007919,0.148372
8.006672,0.497187,-0.331389,-1.712282,0.009398,0.147915
8.056714,0.496605,-0.335295,-1.725269,0.010895,0.147464
8.106756,0.495968,-0.339219,-1.738071,0.012408,0.147018
8.156797,0.495277,-0.343161,-1.750687,0.013936,0.146579
8.206839,0.494531,-0.347122,-1.763118,0.015475,0.146147
8.256881,0.493731,-0.3511,-1.775363,0.017025,0.145725
8.306922,0.492877,-0.355096,-1.787422,0.018585,0.145312
8.356964,0.491968,-0.35911,-1.799294,0.020153,0.14491
8.407006,0.491006,-0.363141,-1.810981,0.021727,0.144519
